Unitprice,Expire date,Outbound number,Total outbound,Pal grossweight,Pal height,Units per pal
0.962,547,0,0,207.68,1,384
1.97,365,3,23,198,1.02,180
2.063,547,1,1,165.78,1.02,108
4.642,547,3,3,221.04,1.05,72
1.143,547,0,0,207.68,1,384
1.8,365,0,0,198,1.02,180
2.263,547,6,7,165.78,1.02,108
1.75,547,0,0,198,1.02,180
4.456,547,0,0,221.04,1.05,72
2.502,547,0,0,165.78,1.02,108
4.309,547,4,5,221.04,1.05,72
0.934,547,0,0,0,0,0
2.201,547,0,0,165.78,1.02,108
0,547,0,0,0,0,0
2.239,547,3,64,165.78,1.02,108
0,547,0,0,0,0,0
0,547,0,0,0,0,0
2.69,547,0,0,0,0,0
0,547,0,0,0,0,0
0,547,0,0,0,0,0
0.375,730,1,2,5.25,0,50
0.35,730,2,4,529.2,0.9,2160
0.37,730,0,0,529.2,0.9,2160
0.34,730,0,0,529.2,0.9,2160
0.353,730,1,7,529.2,0.9,2160
5.611,365,2,2,167.68,1,384
0,365,0,0,0,0,0
19.534,365,0,0,621.72,1.8,36
0,365,0,0,0,0,0
24.825,365,0,0,730.8,1.8,36
0,547,0,0,0,0,0
9.52,547,0,0,261.12,0.72,32
25.24,365,0,0,310.86,0.9,18
2.887,547,3,3,226.8,1.02,108
5.41,547,0,0,293.76,1.05,72
0.24,547,2,640,105.6,1.56,1920
1,547,0,0,167.68,1,384
11.941,547,0,0,0,0,0
2.88,547,0,0,226.8,1.02,108
0.04,547,0,0,105.6,1.56,1920
0.899,547,9,18,167.68,1,384
1.78,365,0,0,0,0,180
12.517,547,2,3,325.12,0.8,32
2.942,547,10,15,226.8,1.02,108
0,365,0,0,0,0,0
5.557,547,5,8,293.76,1.05,72
0.84,547,1,6,167.68,1,384
2.04,365,0,0,147.6,1.17,180
12.794,547,2,2,325.12,0.8,32
3.103,547,1,1,226.8,1.02,108
1.24,547,4,5,167.68,1,384
14.78,547,0,0,325.12,0.8,32
3.561,547,3,4,226.8,1.02,108
0,547,5,420,0,0,960
0.87,547,1,3,167.68,1,384
2.208,365,0,0,147.6,1.17,180
12.949,547,0,0,325.12,0.8,32
3.105,547,14,22,226.8,1.02,108
5.561,547,0,0,293.76,1.05,72
0.896,547,0,0,167.68,1,384
0,547,0,0,0,0,0
0.858,547,3,12,167.68,1,384
1.74,365,0,0,0,0,0
12.854,547,2,2,10.16,0.8,32
3.077,547,1,1,226.8,1.02,108
0.794,547,4,8,167.68,1,384
2.8,547,1,3,226.8,1.02,108
5.212,547,2,2,293.76,1.05,72
0.88,547,1,3,167.68,1,384
11.579,547,4,4,325.12,0.8,32
2.849,547,6,11,226.8,1.02,108
4.866,547,0,0,261.54,1.05,72
0.877,547,9,21,167.68,1,384
12.584,547,4,4,325.12,0.8,32
3.072,547,5,5,226.8,1.02,108
5.674,547,5,6,293.76,1.05,72
0.82,547,1,3,167.68,1,384
2.263,547,5,7,165.78,1.02,108
4.532,547,0,0,261.54,1.05,72
9.274,547,0,0,261.12,0.72,32
0.83,547,8,20,167.68,1,384
12.353,547,0,0,325.12,0.8,32
2.979,547,2,4,226.8,1.02,108
5.353,547,5,6,293.76,1.05,72
0.747,547,0,0,167.68,1,384
1.23,365,27,1165,147.6,0,180
10.807,547,0,0,325.12,0.8,32
16.201,365,5,6,641.34,1.68,42
2.736,547,1,1,226.8,1.02,108
3.55,365,0,0,266.4,1.02,108
4.784,547,0,0,293.76,1.05,72
0.76,547,9,21,167.68,1,384
1.35,365,134,2722,147.6,1.17,180
11.795,547,2,2,325.12,0.8,32
18.308,365,2,5,641.34,1.68,42
2.72,547,8,11,226.8,1.02,108
0,365,0,0,0,0,0
5.314,547,7,7,293.76,1.05,72
0.8,547,6,24,167.68,1,384
1.42,547,1,50,147.6,1.17,180
12.685,547,1,1,325.12,0.8,32
2.933,547,4,4,226.8,1.02,108
5.62,547,0,0,293.76,1.05,72
1.03,547,0,0,167.68,1,384
2.722,547,1,1,226.8,1.02,108
0.837,547,4,17,167.68,1,384
1.3,547,7,130,147.6,0,180
10.93,547,0,0,325.12,0.8,32
2.608,547,13,22,226.8,1.02,108
4.789,547,1,1,293.76,1.05,72
0.939,547,4,13,167.68,1,384
1.5,365,98,1389,147.6,1.17,180
12.716,547,3,3,325.12,0.8,32
19.14,365,0,0,0,1.1,21
3.014,547,4,5,226.8,1.02,108
5.647,547,0,0,293.76,1.05,72
0,547,0,0,0,0,0
0.826,547,2,10,167.68,1,384
1.34,365,76,2054,147.6,1.17,180
11.577,547,6,7,325.12,0.8,32
17.525,365,0,0,0,0,0
16.879,365,1,2,641.34,1.68,42
2.905,547,9,15,226.8,1.02,108
5.294,547,15,19,293.76,1.05,72
0.821,547,1,2,167.68,1,384
0,365,27,1770,147.6,0,180
2.78,547,4,4,226.8,1.02,108
0.87,547,1,6,167.68,1,384
0,365,0,0,0,0,0
3.08,547,0,0,226.8,1.02,108
0.79,547,3,4,167.68,1,384
1.6,365,44,814,147.6,1.17,180
3.192,547,2,2,226.8,1.02,108
5.552,547,0,0,293.76,1.05,72
0.924,547,2,6,167.68,1,384
2.0125,365,0,0,0,0,0
11.787,547,4,4,325.12,0.8,32
2.83,547,2,2,226.8,1.02,108
5.241,547,9,10,293.76,1.05,72
0.84,547,2,4,167.68,1,384
2.259,547,4,4,165.78,1.02,108
4.422,547,0,0,261.54,1.05,72
0.86,547,8,18,167.68,1,384
11.917,547,3,3,325.12,0.8,32
2.999,547,2,4,226.8,1.02,108
5.47,547,0,0,293.76,1.05,72
0.91,547,1,3,167.68,1,384
1.6,365,0,0,147.6,1.17,180
2.357,547,4,5,165.78,1.02,108
5.092,547,2,2,261.54,1.05,72
0.99,547,3,8,167.68,1,384
3.67,547,2,3,226.8,1.02,108
6.31,547,1,1,293.76,1.05,72
0.86,547,8,15,167.68,1,384
1.944,365,0,0,147.6,1.17,180
3.04,547,3,3,226.8,1.02,108
0.9,547,2,15,167.68,1,384
1.824,365,27,1859,147.6,1.17,180
2.853,547,4,5,226.8,1.02,108
0.94,547,0,0,167.68,1,384
2.016,365,0,0,294,1.13,350
2.37,547,0,0,165.78,1.02,108
0,547,0,0,0,0,0
0.978,547,0,0,167.68,1,384
1.908,365,0,0,147.6,1.17,180
3.08,547,1,2,226.8,1.02,108
0.9,547,4,12,167.68,1,384
0,365,0,0,0,0,0
3.3,547,1,2,226.8,1.02,108
0,365,0,0,0,0,0
5.27,365,1,1,66.96,0.94,216
12.39,547,0,0,325.12,0.8,32
6.203,547,0,0,0,0,0
13.152,547,0,0,325.12,0.8,32
0,365,0,0,0,0,0
1.881,730,10,24,336.96,0.9,288
1.85,730,4,6,336.96,0.9,288
1.76,730,3,3,336.96,0.9,288
1.95,730,2,2,336.96,0.9,288
2.04,730,2,2,336.96,0.9,288
1.65,730,0,0,336.96,0.9,288
1.88,730,1,1,336.96,0.9,288
1.829,730,1,1,336.96,0.9,288
1.789,730,15,29,336.96,0.9,288
0.39,730,3,10,529.2,0.9,2160
1.818,730,5,8,336.96,0.9,288
1.85,730,8,8,336.96,0.9,288
1.857,730,0,0,336.96,0.9,288
1.72,730,0,0,336.96,0.9,288
1.8,730,128,203,336.96,0.9,288
1.82,730,12,14,336.96,0.9,288
1.742,730,9,11,336.96,0.9,288
1.57,730,18,24,336.96,0.9,288
0.975,547,0,0,207.68,1,384
2.205,547,1,1,165.78,1.02,108
5.5298,547,0,0,221.04,1.05,72
1.05,547,2,3,207.68,1,384
2.32,547,1,1,165.78,1.02,108
5.425,547,0,0,221.04,1.05,72
1.428,547,0,0,207.68,1,384
2.48,547,0,0,165.78,1.02,108
5.8274,547,0,0,221.04,1.05,72
2.63,547,0,0,165.78,1.02,108
8.138,547,0,0,243.84,0.72,32
15.322,365,0,0,641.34,1.68,42
4.04,547,0,0,221.04,1.05,72
21.84,365,1,2,641.34,1.68,42
4.73,547,0,0,221.04,1.05,72
16.46,365,0,0,641.34,1.68,42
5.568,547,0,0,0,0,0
1.08,547,2,2,207.68,1,384
2.6,547,1,1,165.78,1.02,108
4.74,547,0,0,221.04,1.05,72
1.13,547,0,0,207.68,1,384
2.41,547,0,0,165.78,1.02,108
4.24,547,0,0,221.04,1.05,72
1.512,547,0,0,207.68,1,384
3.228,547,0,0,165.78,1.02,108
6.1318,547,0,0,221.04,1.05,72
2.42,730,1,1,489.6,1.62,288
2.343,730,0,0,489.6,1.62,288
3.456,730,0,0,489.6,1.62,288
0,547,0,0,0,0,0
0.15,547,0,0,105.6,1.56,1920
15.355,365,0,0,641.34,1.68,42
21.768,365,0,0,657.72,1.44,36
5.08,547,0,0,0,0,0
1.932,547,4,10,198,1.02,180
19.72,365,2,2,641.34,1.68,42
5.447,547,0,0,293.76,1.05,72
17.039,365,9,16,641.34,1.68,42
20.58,365,0,0,0,1.2,36
5.425,547,2,2,293.76,1.05,72
0,365,0,0,0,0,0
0,547,0,0,0,0,0
14.692,365,1,1,441.72,1.44,36
5.8375,547,0,0,0,0,0
14.658,365,1,1,641.34,1.68,42
0,547,0,0,0,0,0
0,365,0,0,0,0,0
5.525,547,0,0,0,0,0
20.01,365,2,3,641.34,1.68,42
5.484,547,0,0,221.04,1.05,72
19.483,365,5,5,320.67,0.84,21
21.27,547,0,0,0,0,0
1.698,547,4,10,198,1.02,180
20.251,365,8,10,641.34,1.68,42
26.21,365,0,0,0,1.2,36
6.138,547,5,6,293.76,1.05,72
0,365,0,0,0,0,8
16.238,365,4,4,641.34,1.68,42
5.204,547,0,0,641.34,1.68,42
16.57,365,0,0,0,1.2,36
16.75,365,1,1,641.34,1.68,42
24.725,365,0,0,0,0,30
5.31,547,0,0,293.76,1.05,72
0,365,0,0,0,0,0
0,547,0,0,0,0,0
12.689,547,0,0,325.12,0.8,32
4.635,547,1,1,221.04,1.05,72
5.623,547,1,2,293.76,1.05,72
0.204,547,3,559,105.6,1.56,1920
1.578,547,2,4,198,1.02,180
0,547,0,0,0,0,0
16.215,365,1,1,641.34,1.68,42
5.058,547,3,5,293.76,1.05,72
0,365,0,0,0,0,72
1.59,547,0,0,198,1.02,180
9.38,547,0,0,325.12,0.8,32
0,365,0,0,0,0,0
14.082,365,7,7,641.34,1.68,42
0,365,0,0,0,1.2,36
4.564,547,7,7,293.76,1.05,72
0,547,0,0,0,0,0
19.267,365,0,0,641.34,1.68,42
5.238,547,0,0,293.76,1.05,72
0,365,0,0,0,0,0
5.1,547,0,0,293.76,1.05,72
5.35,547,0,0,257.04,0,72
1.61,547,3,7,147.6,1.17,180
1.79,365,0,0,148,1.17,180
3.181,547,2,4,226.8,1.02,108
0,547,0,0,0,0,0
1.65,547,0,0,147.6,1.17,180
2.355,547,3,4,165.78,1.02,108
0,547,1,1,0,0,0
0,547,0,0,0,0,0
0,547,0,0,0,0,0
0,547,0,0,0,0,0
0.016,547,1,720,105.6,1.56,1920
1.58,547,1,1,147.6,1.17,180
12.585,547,2,2,325.12,0.8,32
2.95,547,1,1,226.8,1.02,108
1.8381,547,0,0,0,0,0
0,547,0,0,0,0,0
3.01,547,0,0,0,0,0
1.682,547,3,6,198,1.02,180
4.87,547,2,2,221.04,1.05,72
10.824,547,0,0,277.12,0.72,32
1.53,547,7,17,147.6,1.17,180
1.58,365,3,500,0,1.1,180
2.955,547,4,5,226.8,1.02,108
9.717,547,0,0,261.12,0.72,32
0.135,547,0,0,0,0,0
1.36,547,7,13,147.6,1.17,180
1.584,365,1,5,147.6,1.17,180
2.596,547,13,23,226.8,1.02,108
4.38,547,0,0,293.76,1.05,72
8.823,547,4,4,261.12,0.72,32
0,365,0,0,0,0,0
1.63,547,3,4,147.6,1.17,180
2.54,547,1,1,226.8,1.02,108
9.597,547,3,3,261.12,0.72,32
0.015,547,8,960,105.6,1.56,1920
1.35,547,1,2,147.6,1.17,180
2.71,547,2,2,226.8,1.02,108
0,365,0,0,0,0,0
16.66,365,0,0,507.6,1.44,36
13.194,365,0,0,404.64,1.2,36
0,365,0,0,0,0,0
21.478,365,1,1,730.8,1.8,36
18.795,365,0,0,621.72,1.8,36
26.54,365,0,0,730.8,1.8,36
14.941,365,0,0,641.34,1.68,42
18.804,365,7,9,730.8,1.8,36
21.845,365,0,0,730.8,1.8,36
27.32,365,0,0,0,0,0
0,365,0,0,0,0,0
20.525,365,1,1,621.72,1.8,36
20.45,365,0,0,549.72,1.44,36
20.738,365,1,1,621.72,1.8,36
18.282,365,0,0,341.67,0.98,21
27.475,365,0,0,0,0,0
17.568,365,0,0,320.67,0.84,21
24.502,365,3,3,730.8,1.8,36
22.236,365,0,0,548.1,1.2,30
23.691,365,0,0,730.8,1.8,36
21.824,365,0,0,548.1,1.2,30
20.015,365,7,10,730.8,1.8,36
20.296,365,2,2,730.8,1.8,36
21.115,365,2,4,621.72,1.8,36
19.315,365,1,1,621.72,1.8,36
17.03,365,4,7,274.86,0.72,18
21.37,365,0,0,730.8,1.8,36
19.42,365,0,0,0,0,0
25.95,365,0,0,0,0,0
21.276,365,0,0,310.86,0.9,18
0.98,547,0,0,207.68,1,384
2.39,547,2,3,165.78,1.02,108
4.54,547,0,0,0,0,0
0.965,547,4,9,207.68,1,384
2.362,547,1,1,165.78,1.02,108
4.16,547,0,0,221.04,1.05,72
0,547,0,0,0,0,0
1.13,547,1,2,207.68,1,384
2.59,547,1,1,165.78,1.02,108
0,547,0,0,0,0,0
2.7,547,1,66,165.78,1.02,108
7.2,547,0,0,293.76,1.05,72
1.331,547,0,0,147.6,1.17,180
2.93,547,0,0,226.8,1.02,108
2.774,547,1,6,226.8,1.02,108
4.89,547,1,2,293.76,1.05,72
5,547,0,0,0,0,0
5.216,547,1,1,293.76,1.05,72
10.063,547,0,0,325.12,0.8,32
5.563,547,0,0,293.76,1.05,72
14.402,547,0,0,325.12,0.8,32
15.736,365,1,2,296.1,0.84,21
5.38,547,0,0,293.76,1.05,72
16.659,365,2,3,296.1,0.84,21
6.06,547,0,0,293.76,1.05,72
18.054,365,0,0,296.1,0.84,21
0,365,0,0,0,0,0
0,365,0,0,0,0,0
2.23,547,0,0,165.78,1.02,108
10.947,547,0,0,0,0,0
0,547,0,0,0,0,0
0,365,0,0,0,0,0
0,547,0,0,0,0,0
0,365,0,0,0,0,0
2.591,547,4,5,165.78,1.02,108
0,547,0,0,0,0,0
0,365,0,0,0,0,0
0.35,730,1,12,529.2,0.9,2160
0.81,547,0,0,167.68,1,384
2.956,547,2,2,226.8,1.02,108
0.894,547,3,3,167.68,1,384
3.129,547,1,1,226.8,1.02,108
0.92,547,1,6,167.68,1,384
3.237,547,7,19,165.78,1.02,108
4.718,547,2,7,261.54,1.05,72
0.9,547,3,5,167.68,1,384
2.294,547,9,20,165.78,1.02,108
4.625,547,5,7,261.54,1.05,72
0.82,547,2,5,167.68,1,384
2.38,547,3,3,165.78,1.02,108
4.837,547,5,5,261.54,1.05,72
1.069,547,2,5,167.68,1,384
2.595,547,2,4,165.78,1.02,108
5.138,547,1,2,261.54,1.05,72
3.115,547,0,0,226.8,1.02,108
0,547,0,0,0,0,0
2.24,547,0,0,165.78,1.02,108
0,547,0,0,0,0,0
0.81,547,2,9,167.68,1,384
2.616,547,4,7,165.78,1.02,108
0,547,0,0,0,0,0
0.91,547,2,7,167.68,1,384
12.301,547,0,0,0,0,0
2.438,547,6,11,165.78,1.02,108
4.818,547,0,0,261.54,1.05,72
1.04,547,1,5,167.68,1,384
2.282,547,1,3,165.78,1.02,108
0.981,547,6,7,167.68,1,384
2.701,547,11,19,165.78,1.02,108
5.344,547,2,3,261.54,1.05,72
8.535,547,0,0,0,0,0
1.05,547,64,123,167.68,1,384
3.206,547,1,3,165.78,1.02,108
0,547,0,0,0,0,0
0.64,730,2,16,187.392,1,384
0.54,730,0,0,187.392,1,384
0.56,730,2,13,187.392,1,384
0,730,0,0,0,0,0
0.52,730,0,0,187.392,1,384
0.56,730,2,12,180.48,1,384
0.57,730,0,0,0,0,0
0.51,730,3,12,187.392,1,384
0.581,730,6,44,167.68,1,384
0.598,730,6,33,529.2,0.9,2160
0.66,730,2,12,167.68,1,384
0.38,730,0,0,529.2,0.9,2160
24.88,365,1,1,296.1,0.84,21
4.37,547,3,8,226.8,1.02,108
13.266,547,0,0,227.2,0.72,32
15.807,365,3,4,296.1,0.84,21
2.99,547,4,6,226.8,1.02,108
10.33,547,0,0,0,0,0
15.131,365,1,1,296.1,0.84,21
2.25,547,1,4,165.78,1.02,108
7.28,547,0,0,0,0,0
14.698,365,0,0,296.1,0.84,21
2.833,547,1,1,226.8,1.02,108
17.634,365,1,1,296.1,0.84,21
3.129,547,0,0,226.8,1.02,108
0,547,0,0,0,0,0
0,365,0,0,0,0,0
25.69,365,0,0,296.1,0.84,21
3.323,547,0,0,165.78,1.02,108
16.369,365,0,0,257.67,0.84,21
2.587,547,1,5,165.78,1.02,108
8.92,547,1,1,195.84,0.72,32
17.649,365,2,5,296.1,0.84,21
3.18,547,1,1,226.8,1.02,108
12.179,365,21,30,257.67,0.84,21
2,547,2,4,165.78,1.02,108
2.95,547,0,0,0,0,0
23.61,365,0,0,0,0,0
0,547,0,0,0,0,0
3.115,547,0,0,226.8,1.02,108
0,365,0,0,0,0,0
3.11,547,0,0,226.8,1.02,108
16.192,365,0,0,257.67,0.84,21
2.571,547,1,1,165.78,1.02,108
8.72,547,51,86,195.84,0.72,32
3.898,547,0,0,0,0,0
8.808,547,0,0,293.76,1.05,72
0,547,0,0,0,0,0
3.865,547,1,1,277.56,1.02,108
0,365,0,0,0,0,0
2.88,547,5,12,226.8,1.02,108
0,547,0,0,0,0,0
18.8375,365,0,0,0,0,0
2.808,547,0,0,226.8,1.02,108
9.014,547,0,0,243.84,0.72,32
0,365,0,0,0,0,0
3.277,547,0,0,165.78,1.02,108
0.19,547,11,11,168.48,0.45,144
0,547,0,0,0,0,0
3.37,547,1,1,226.8,1.02,108
0,547,0,0,0,0,0
0.59,547,4,5,0,0,18
16.066,365,0,0,257.67,0.84,21
3.34,547,0,0,226.8,1.02,108
8.82,547,0,0,221.04,1.05,72
21.84,547,0,0,261.12,0.72,32
14.683,365,8,8,257.67,0.84,21
2.53,547,2,2,165.78,1.02,108
3.03,547,0,0,0,0,0
13.824,547,0,0,325.12,0.8,32
3.7875,547,0,0,226.8,1.02,108
2.724,547,2,5,165.78,1.02,108
5.82,547,0,0,261.54,1.05,72
2.508,730,0,0,408,1.2,240
1.06,547,2,4,207.68,1,384
3.26,547,1,2,226.8,1.02,108
0.936,547,3,7,167.68,1,384
2.448,547,3,12,165.78,1.02,108
4.923,547,10,15,261.54,1.05,72
9.504,547,0,0,195.84,0.72,32
1.367,547,0,0,207.68,1,384
5.423,547,4,5,277.56,1.02,108
0,547,0,0,0,0,0
0.727,547,2,2,167.68,1,384
2.19,547,1,1,165.78,1.02,108
4.69,547,2,3,261.54,1.05,72
7.544,547,1,1,195.84,0.72,32
0.916,547,8,19,167.68,1,384
3.095,547,4,5,226.8,1.02,108
1.08,547,2,4,167.68,1,384
2.786,547,2,6,165.78,1.02,108
6.471,547,1,1,261.54,1.05,72
0.936,547,3,5,167.68,1,384
2.653,547,1,1,165.78,1.02,108
2.45,547,2,2,165.78,1.02,108
0.928,547,1,5,167.68,1,384
2.39,547,5,10,165.78,1.02,108
4.948,547,1,2,261.54,1.05,72
9.98,547,0,0,195.84,0.72,32
2.35,547,7,8,165.78,1.02,108
5.09,547,0,0,261.54,1.05,72
1.089,547,0,0,167.68,1,384
3.09,547,2,2,165.78,1.02,108
0,547,0,0,0,0,0
1.129,547,4,15,207.68,1,384
3.305,547,0,0,226.8,0,108
0.99,547,3,7,207.68,1,384
3.061,547,1,1,226.8,1.02,108
0.942,547,1,3,167.68,1,384
2.33,547,6,14,165.78,1.02,108
4.943,547,7,8,261.54,1.05,72
8.25,547,0,0,195.84,0.72,32
3.718,547,4,8,226.8,1.02,108
7.208,547,0,0,293.76,1.05,72
0.98,547,5,17,167.68,1,384
3.503,547,11,23,226.8,1.02,108
6.546,547,1,3,293.76,1.05,72
1.034,547,4,7,167.68,1,384
3.107,547,1,2,226.8,1.02,108
3.21,547,0,0,226.8,1.02,108
1.25,547,0,0,207.68,1,384
3.41,547,0,0,226.8,1.02,108
1.77,730,1,1,348.48,0.9,288
1.76,730,3,4,336.96,0.9,288
0,730,0,0,0,0,0
1.74,730,4,7,336.96,0.9,288
0,730,0,0,0,0,0
1.89,730,6,20,348.48,0.9,288
1.95,730,0,0,348.48,0.9,288
1.977,730,3,5,348.48,0.9,288
1.84,730,1,1,348.48,0.9,288
2.21,730,0,0,348.48,0.9,288
1.778,730,11,24,348.48,0.9,288
1.96,730,5,9,336.96,0.9,288
0,730,0,0,0,0,0
1.927,730,0,0,348.48,0.9,288
0,730,0,0,0,0,0
1.91,730,0,0,348.48,0.9,288
1.93,730,4,8,348.48,0.9,288
1.78,730,2,4,348.48,0.9,288
1.81,730,1,1,348.48,0.9,288
0,730,0,0,0,0,0
0.41,730,0,0,529.2,0.9,2160
0.37,730,0,0,529.2,0.9,2160
1.847,730,8,12,348.48,0.9,288
1.788,0,2,12,198,1.02,180
3.93,0,0,0,266.4,1.02,108
1.9,730,0,0,348.48,0.9,288
0,0,0,0,0,1.13,180
1.104,0,2,46,198,1.02,240
1.02,0,6,63,138,0.4,600
0,0,0,0,0,0.5,200
2.07,730,0,0,348.48,0.9,288
0,0,0,0,0,0.25,100
0,0,0,0,0,0.35,30
7.368,547,0,0,293.76,1.05,72
4.0375,0,0,0,0,0.9,45
4.0625,0,0,0,0,0.9,50
3.4625,0,0,0,0,0.6,30
3.4,0,0,0,0,0.35,24
11.3125,0,0,0,0,0.8,21
6.3125,0,0,0,0,0.35,24
2.1875,0,0,0,0,0,0
5.775,0,0,0,0,0.6,24
0,0,0,0,0,0.6,24
0,0,0,0,0,0,0
6.75,0,0,0,0,0.7,72
0,0,0,0,0,0,0
3.35,0,0,0,0,0.6,30
0,0,0,0,0,0,0
3.9,0,0,0,0,0.6,8
0,0,0,0,0,0.6,30
6.3125,0,0,0,0,0.6,24
0,0,0,0,0,0,0
0.0137,0,92,1835,800,0,200000
0.63,0,9,197,54,0.63,12000
0,0,1,5,21.6,0.6,18000
0,0,0,0,36,0.66,1500
0.0033,0,187,2777,276,1,4800
0.356,0,15,1444,113.4,0.75,1800
1.62,0,6,71,48,0.4,4800
0.2,0,4,225,102.5,0.4,5000
0,0,0,0,0,0.3,2300
0,0,9,135,60,0.54,600
0,0,0,0,0,1,2100
0.76,0,0,0,111.6,0.6,1200
0,0,0,0,84,0.7,40000
0,0,0,0,0,0.5,1480
0,0,59,1012,130.56,1.2,384
0,0,1,5,80,0.4,8000
0,0,3,330,54,0.75,1800
0,0,99,2122,60,0.54,600
0.6,0,4,130,102.5,0,5000
0,0,0,0,0,0.4,1200
0,0,1,55,0,1,800
0,0,10,294,52.8,0.6,4800
0.76,0,27,382,73.6,0.6,800
0,0,0,0,0,0.3,1000
1,0,1,74,84,0.6,8000
0,0,5,42,102.5,0.4,5000
0,0,0,0,50.4,1,800
0.2,0,0,0,97.6,0.6,4800
0,0,0,0,246,1,600
0,0,0,0,0,0.4,500
2.43,0,32,395,123.24,1.2,156
0,0,17,153,600,1.8,500
0.17,0,58,864,131.4,0.75,1800
0,0,0,0,0,0.6,500
0,0,0,0,0,1.6,400
0,0,19,1057,38.4,0.6,1200
0,0,15,261,112,1.7,350
12,0,7,313,189,0.6,4500
5,0,4,157,146.4,0.6,4800
0,0,0,0,0,0.25,300
0,0,0,0,0,1.5,300
1.205,0,9,212,111.6,0.75,900
0,0,0,0,0,0.6,150
1.47,0,3,4,360,2.1,300
0,0,5,141,84,0.73,960
1.47,0,19,194,20.16,0,144
0,0,0,0,210.24,1.2,144
0,0,0,0,0,0.35,200
0,0,0,0,0,0.3,300
6.8,0,11,107,136,0.48,160
0.3,0,0,0,420,1,200
0,0,6,89,183.6,0.9,1800
0,0,0,0,0,0.25,500
0,0,4,83,20,0.6,800
0,0,7,167,262.5,1.8,150
12.3,0,13,64,174,1,300
0,0,0,0,0,0.3,300
0,0,0,0,0,0.3,500
0,0,0,0,84,0.8,400
0,0,13,116,83.2,0.2,80
0.5,0,0,0,36,0.5,1600
0,0,1,10,44,0.4,800
0,0,4,39,50,1.8,150
1.5,0,4,82,2.88,0,288
0,0,1,30,84,0.73,960
4.98,0,8,20,33,0.5,1000
4.584,0,7,83,216,0.75,900
0,0,3,99,62.4,0.6,2000
0,0,0,0,30,0.5,600
0,0,2,7,43,0.4,1000
0,0,0,0,44,0.7,4000
0,0,0,0,0,0.25,200
0,0,0,0,45,0.6,180
0,0,12,103,212.4,1.8,150
0,0,7,38,73.6,0.4,2400
0,0,3,43,52,0.7,800
0,0,5,52,185.4,0.9,900
0,0,0,0,0,0.6,20
7.593,0,21,30,0,1.7,80
4.813,0,17,111,124,0.64,48
0,0,2,20,124,0.6,1200
0,0,1,20,15.72,0.9,144
0,0,4,40,131.4,0.9,900
0,0,2,32,185.4,0.75,360
0,0,0,0,44,0.4,4000
1.48,0,0,0,140.4,0.75,1800
